Range,Frequency
1,0.000000000
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
6,0.000000000
7,0.000000000
8,0.000000000
9,0.000000000
10,0.000000000
11,0.000000000
12,0.000000000
13,0.000000000
14,0.000000536187830579848
15,0.00121595786779216
16,0.0764268697319811
17,0.465569906768614
18,0.838492690700357
19,0.963230167161448
20,0.989690444906312
21,0.994823734
22,0.99439631949975
23,0.987189608408507
24,0.950656062800158
25,0.786725511937081
26,0.369269489327989
27,0.0418487498155105
28,0.000359806599995571
29,0.000000000
30,0.000000000
31,0.000000000
32,0.000000000
33,0.000000000
34,0.000000000
35,0.000000000
36,0.000000000
37,0.000000000
38,0.000000000
39,0.000000000
40,0.000000000
41,0.000000000
42,0.000000000
43,0.000000000
44,0.000000000
45,0.000000000
46,0.000000000
47,0.000000000
48,0.000000000
49,0.000000000
50,0.000000000
51,0.000000000
52,0.000000000
53,0.000000000
54,0.000000000
55,0.000000000
56,0.000000000
57,0.000000000
58,0.000000000
59,0.000000000
60,0.000000000